,target,source,number_people,weight
108,Abaq Dheere,Buur eyli,6,0.08108108108108109
109,Abaq Dheere,Danbal aaran,4,1.0
110,Abaq Dheere,Danyer,5,0.625
111,Abaq Dheere,Goof gaduud,11,0.07746478873239436
112,Abaq Dheere,Goorisini,4,0.09090909090909091
113,Abaq Dheere,Kurti,6,0.20689655172413793
114,Abaq Dheere,Miidow,8,0.125
115,Abaq Dheere,Mool.mad,4,1.0
116,Abaq Dheere,Wariiri,6,0.17142857142857143
117,Abaq Dheere,Yabal,6,1.0
118,Abaq Haluul,Adiiley,3,0.23076923076923078
119,Abaq Haluul,Buulo Barake,4,1.0
120,Abaq Haluul,Deebey,9,0.45
121,Abaq Haluul,Ethiopia,3,0.0008566533409480297
122,Abaq Haluul,Galgal-onlay,6,1.0
123,Abaq Haluul,Hanana 1,4,1.0
124,Abaq Haluul,Humbowe,3,0.0379746835443038
125,Abaq Haluul,Idad koble,4,1.0
126,Abaq Haluul,Jafey,12,0.11650485436893204
127,Abaq Haluul,Kurtun,9,0.05202312138728324
128,Abaq Haluul,Lehelay,4,0.12121212121212122
129,Abaq Haluul,Meel labowle,5,1.0
130,Abaq Haluul,Morow Mukhtar,6,1.0
131,Abaq Haluul,Reebay,6,0.18181818181818182
132,Abarey,Al Kowsar,20,1.0
133,Abarey,Mareerey,23,0.05778894472361809
134,Abarey,Xawaadley,20,0.027972027972027972
135,Abdurok,Koofi gadud,20,0.5263157894736842
136,Abeelsale,Jameeco,7,0.02734375
137,Abesale,Mukaydhere,32,0.7804878048780488
138,Abesale,October,16,0.029357798165137616
139,Abesale,Sabiib,24,0.014545454545454545
140,Aboore,Buurdhuhule,5,0.03816793893129771
141,Aboore,Khansaxdheere ,9,0.07894736842105263
142,Aboore,Xudur ,4,0.04081632653061224
143,Aboore 1,Aboore,7,0.19444444444444445
144,Aboore 1,Gelgel,9,0.06666666666666667
145,Abroone,Awdheegle,26,0.007212205270457697
146,Abroone,Gaalawar,26,0.37681159420289856
147,Abroone,Jambaluul,14,0.027944111776447105
148,Abroone,Mareerey,20,0.05025125628140704
149,Abroone,Misiga way,23,0.23711340206185566
150,Abroone,Moqokori,28,0.09210526315789473
151,Abroone,Sabib,20,0.05917159763313609
152,Abroone,Sabiib and caanoole,37,0.07312252964426877
153,Abroone,Sagaalad and Gaalawar,28,0.5384615384615384
154,Abukarini,Maduulow,5,0.07142857142857142
155,Abukarini,Sabiib,38,0.02303030303030303
156,Aburow,Abuurow,3,1.0
157,Aburow,Abuurow ,12,1.0
158,Abuurow,Abal,3,0.03896103896103896
159,Abuurow,Buulo Gomor,4,0.047058823529411764
160,Abuurow,Buur Heledi,7,1.0
161,Abuurow,Dalandoole,3,0.03296703296703297
162,Abuurow,Gurbaan,12,0.01788375558867362
163,Abuurow,Koban Korinbood,8,1.0
164,Abuurow,Koron roogi,4,1.0
165,Abuurow,Kulan jareer,7,0.4117647058823529
166,Abuurow,Sigli,10,0.1694915254237288
167,Abuurow,Tooswiine,4,0.26666666666666666
168,Abuurow,Ufurow,23,0.012392241379310345
169,Adaayimow,Abaalbarba,3,1.0
170,Adaayimow,Awal,14,0.0945945945945946
171,Adaayimow,Baardhere,10,0.30303030303030304
172,Adaayimow,Deynuuny,3,0.043478260869565216
173,Adaayimow,Garsaaley,3,0.011194029850746268
174,Adaayimow,Miidow,5,0.078125
175,Adaayimow,Sarmaan,6,0.07317073170731707
176,Adaayimow,Shantimundili,8,0.4444444444444444
177,Adable Ade,Bardale,5,0.04
178,Adable Ade,Belet Weyne,3,0.3333333333333333
179,Adable Ade,Berdale,7,0.04294478527607362
180,Adable Ade,Buurdhuhule,4,0.030534351145038167
181,Adable Ade,Raydabo,3,0.046875
182,Adable Gunre,Awdinle ,3,0.0051813471502590676
183,Adable Gunre,Buula balash,3,0.42857142857142855
184,Adable Gunre,Ded baanka,5,1.0
185,Adable Gunre,Garba dheera,5,1.0
186,Adable Gunre,Harqaan ,3,0.2727272727272727
187,Adable Gunre,Kurtun ,6,0.06818181818181818
188,Adable Gunre,Taflaw ,2,1.0
189,Adable Gunre,Toosweyne ,2,0.16666666666666666
190,Adable Gunre,Wanay,3,0.0379746835443038
191,Adable Oomane,Biyooley,4,0.01951219512195122
192,Adable Oomane,Buuli Barako,6,1.0
193,Adable Oomane,Buur,7,0.1
194,Adable Weyne,Bulo nuurka,14,1.0
195,Adable Weyne,Buulo Gomor,23,0.27058823529411763
196,Adable Weyne,Buulo Nuurka,10,0.18518518518518517
197,Adable Weyne,Buulo gomor,3,1.0
198,Adable Weyne,Deynuuney ,5,0.1724137931034483
199,Adable Weyne,Miidow,7,0.109375
200,Adable Weyne,Tuwer hoos,4,0.26666666666666666
201,Adad-Gerey,Abag Siin,5,1.0
202,Adad-Gerey,Beedey,3,1.0
203,Adad-Gerey,Buulo Gudud,5,1.0
