arrival_settlement,arrivals_total,arrivals_males,arrivals_females,arrivals_children,final_destination,origin_hazard,origin_settlement
Asalamu Aleikum,40,12,10,18,True,Conflict,Awdigle
Halabay,5,1,2,2,True,Drought,Uffurow
Hawal Been,12,3,4,5,True,Drought,Ufurow
Abag-Beday,4,1,1,2,True,Drought,Tijeegbuul village.
Jiracle,33,3,15,15,True,Drought,Bursagar 
Najax,8,2,3,3,True,Drought,Qadiija xaaji 
Al Ikraan,37,8,11,18,True,Conflict,Shalambood
Doon Edi,2,0,1,1,True,Drought,Doon-edi village 
Yab Yab,5,1,2,2,True,Drought,Yabyab village
Kulan Jareer,13,2,8,3,True,Drought,Kulanjareer village 
Tiirka idps,6,0,2,4,True,Conflict,Jidow
Nasri 2,3,1,1,1,True,Drought,Cel ware
Taleeh Village,2,1,1,0,True,Eviction,Luuq district 
Dondardiir,3,0,2,1,True,Drought,Dondardiir village
Bariirow,3,1,1,1,True,Drought,Bariirow village 
Jiidow Bakool,5,1,2,2,True,Drought,Waajid
Daryeel,6,2,2,2,True,Drought,Diinsoor
Blook,24,6,8,10,True,Conflict,Sumudaale and lamagaras
Kurtumaley,4,1,1,2,True,Conflict,Buur eyle
Dugsiilo-2,4,1,1,2,True,Drought,Buur eyle
Habaal Adey,12,2,5,5,True,Conflict,shanqalow
Bula Kulow,56,11,15,30,True,Conflict,Gurbaan
Najax,8,2,3,3,True,Drought,Baladunuur
Sarman-2,6,2,2,2,True,Drought,Daynuunay 
Degamur Bay,4,1,2,1,True,Drought,Biyooley
Shiilow,4,0,1,3,True,Drought,Dondhere
Dayax,15,2,6,7,True,Drought,Cows qurun
Cadaawe Yare,33,6,9,18,True,Conflict,Marerey
Dure Emed IDP,10,2,4,4,True,Drought,Durey village
Qasadhere2,6,2,2,2,True,Drought,Baanow
Faroole,31,6,9,16,True,Conflict,Deelaal and biyo cade
Quracle,5,1,1,3,True,Drought,Daarow
Buulo Yusuf,5,1,2,2,True,Drought,Waney
Eeg Iyo Ali Mumun,5,1,2,2,True,Drought,Harqaan
Delmo,27,4,9,14,True,Conflict,Bursho Sheikh and Doorboob
War Harqaan,5,2,1,2,True,Drought,Jiir
Buur Eeyle-2,4,1,1,2,True,Conflict,Buur helade
Weel Biilil,8,2,2,4,True,Drought,Uffurow
Duurow,15,3,5,7,True,Conflict,Sabiib and caanoole
Buulo Abag,5,1,1,3,True,Drought,Buulo Abag
Bantiifow,3,1,1,1,True,Drought,Labatan jarow
Buundo 1,11,2,4,5,True,Conflict,Moqokori
Geedbarbar,8,3,3,2,True,Drought,Geedbarbar
Alla-Amin2,5,1,1,3,True,Drought,Ethiopia
Nugul,35,7,11,17,True,Conflict,Sabiib
Yaasmin,3,0,1,2,True,Eviction,Jowhar
Balanbale IDP,2,0,2,0,True,Drought,Balanbale village
Dahaale,2,1,1,0,True,Drought,Shibeelow
Baqaley Riibi,3,1,1,1,True,Conflict,Molmad
Mustaqbal 1,18,2,4,12,True,Flood,Garsoor
Lebiga,30,6,10,14,True,Conflict,Geelgub and daarboob 
Salama 1,6,1,1,4,True,Flood,Garsoor
Haji,7,2,2,3,True,Flood,Kurtunwaarey 
Garasley,23,10,11,2,True,Conflict,kudug
Mukubow,9,3,3,3,True,Drought,Mukubow village
Qarshaale,10,2,2,6,True,Conflict,Xaawa Taako
Bada Cas,27,5,8,14,True,Drought,Qunbure and bayaxaaw 
Emedkoorey,6,1,3,2,True,Drought,Obore village.
Dalandole-2,5,1,2,2,True,Drought,Dalandole-2
Burkuus,3,1,1,1,True,Drought,Shiimo
Aliyow mad araale,11,3,4,4,True,Drought,Aliyow mad araale
Bali cad,3,1,1,1,True,Flood,Barakaley
Kuusow,19,2,5,12,True,Conflict,Moqokori
Kulmiye IDP,7,1,1,5,True,Other,Hamare village 
Rajo2,3,1,1,1,True,Drought,Yucubka
Masiirka,4,1,1,2,True,Drought,Buur Eyli 
Raxole Camp,42,15,10,17,True,Drought,Raaxoole
Ramadaan 1,3,1,1,1,True,Other,Gurbaan
Warjinay,4,1,1,2,True,Drought,Uffurow
Buulo Barake,4,1,1,2,True,Drought,Buurey Manas
Nasteho,7,1,1,5,True,Conflict,Farxaane
Mubarak,7,2,3,2,True,Conflict,Lamalugood
Qooneey,4,1,1,2,True,Conflict,Bulo Burto
Gareeri Yarey,3,1,1,1,True,Conflict,Deynuuny
Alla'Aamin 1,12,2,2,8,True,Flood,Garsoor
Buur Abor,7,1,2,4,True,Drought,Thasa
Camp Ajuran,28,8,10,10,True,Drought,Lafmakeed 
Asal,4,0,1,3,True,Drought,Ethiopia
Warshada Camp B1,1,1,0,0,True,Flood,Bula xaji 
Waareeyle,5,0,1,4,True,Drought,Famasi
Lowi Gaduud,4,1,1,2,True,Drought,Lowi Gaduud
Qaatumo,4,1,1,2,True,Drought,Mokeylo
Hubso,10,2,2,6,True,Conflict,Mukedheere
Bilan,8,2,2,4,True,Conflict,Mukedheere
Bakaro,3,1,1,1,True,Drought,Toosikaar
Harqan IDP,3,1,1,1,True,Conflict,Dhejiile
Baladul Amin,3,1,1,1,True,Drought,Kormari
Morgaabey,4,1,2,1,True,Drought,Morgaabey village
Gurdaale,7,1,2,4,True,Drought,Gurdaale
Gubataay,3,1,1,1,True,Drought,Washan
Ramadaan 2,4,1,1,2,True,Drought,Buur eyle
Sagal-Iid,6,1,1,4,True,Conflict,Barwaaqo
Farak,7,2,3,2,True,Drought,Gude village.
Bulo Omaan,4,1,1,2,True,Drought,Buulo-Fuur
Kananax Camp,36,12,9,15,True,Drought,Qotqot
Moorabus,3,1,1,1,True,Drought,Baygaduud
Bulla Reydab,3,1,1,1,True,Drought,Baarsaare
Balan bale,7,2,3,2,True,Conflict,Bu'Aale
Hilaac 1,6,1,2,3,True,Drought,Idaale-1
Warshiidle,3,0,3,0,True,Drought,Warshiidle village
Ufurow,5,1,1,3,True,Drought,Awdinle
Kahweyna,5,1,1,3,True,Conflict,Boholyexaas 
Ceel Qarar,5,1,1,3,True,Drought,Buula cadey
Gaheyr,11,2,3,6,True,Conflict,Alkawsar 
Wadajir,2,1,1,0,True,Eviction,El adde IDPs 
Low Mogii,2,0,2,0,True,Drought,Low Mogii
Xaanshooley,29,6,8,15,True,Conflict,Cali fooldheere and Biya cade
Ideedkuri,5,1,1,3,True,Drought,Ideedkuri
Beytul Qudus Camp,18,4,6,8,True,Conflict,Aboorey
Garmadow IDP,4,0,1,3,True,Conflict,Tuula Barwaqo
Tanad,3,0,1,2,True,Flood,Kurtunwareey
Dhill,2,0,1,1,True,Drought,Dhiil village
Malkaay,3,1,1,1,True,Drought,Uffurow
Sabatuni,2,1,1,0,True,Flood,Masagirow 
Babyow,5,2,1,2,True,Drought,Maandow village.
El Fiin,3,0,1,2,True,Drought,El Fiin
Qarimey,4,1,2,1,True,Conflict,Madini
Tugaar-Hoosle,18,5,6,7,True,Drought,Diinsoor 
Washaan,7,2,2,3,True,Flood,Sakow
Mubarak,5,1,1,3,True,Drought,Ethiopia
Bakaley,4,1,1,2,True,Drought,Bakaley
Xarardheere,3,0,1,2,True,Drought,Sablaale
Iltire,3,1,1,1,True,Drought,Sariito
Faarax-Gololey,31,9,14,8,True,Conflict,Xaawaadleey
Mabarak,6,2,2,2,True,Drought,Qod Qode
Wabari,5,1,1,3,True,Drought,Adabla weyn
Gubad Galoole,3,0,1,2,True,Drought,Elgaras village.
Bakal,5,1,1,3,True,Drought,Bakal
Maskin Alle,23,4,7,12,True,Conflict,Sabiib iyo anole
Orogley,1,1,0,0,True,Drought,Orogley
Donka Burfule,33,7,11,15,True,Conflict,Miira-caruud and Caadleey
Janagale,19,5,8,6,True,Conflict,Buulo shiekh
Hamdi,6,2,2,2,True,Flood,Raadelka 
Digriyow,20,3,7,10,True,Conflict,Sabiib iyo caanoole
Al-amin,8,2,3,3,True,Drought,Al-amin
Xaafito,15,3,3,9,True,Drought,Xaafito
Barabaraay,9,2,3,4,True,Drought,Asmi
Buulo Ciir,3,1,1,1,True,Drought,Xafata
Deg-Gomor,12,3,4,5,True,Drought,Kurman
Tuulada Isgos,31,9,13,9,True,Flood,Far baraki 
Liban,3,1,1,1,True,Drought,Kaayow
Wabiyow IDP,3,1,1,1,True,Drought,Baygaduud
Busley,9,2,3,4,True,Drought,Busley
Adc-3,6,2,2,2,True,Eviction,Boonkaay
Tuulo Amiin,15,5,5,5,True,Drought,Caracase 
Horgooy,6,2,2,2,True,Drought,Horgooy
Sarti,6,2,2,2,True,Drought,Qansaxdheere
Hafata,4,1,1,2,True,Drought,Usmail
Weelwaanre,8,2,3,3,True,Eviction,Weelwaanre
Hared,22,3,8,11,True,Conflict,Sabiib iyo caanoole
Akaro,2,1,1,0,True,Other,Garboolow village 
Alaf Doon,27,8,10,9,True,Conflict,Janaale
Badar,3,0,1,2,True,Drought,Ethiopia
Deeqrabbi camp,25,8,10,7,True,Conflict,Awdhegle
Abarey,23,5,7,11,True,Conflict,Mareerey
Garguur 2,2,1,1,0,True,Drought,Balanbale
Kaam ilaal,3,0,1,2,True,Eviction,Adan Yabaal
Nafis Alle,20,3,7,10,True,Conflict,Buula marer
Camp jimo (dhobley),10,2,2,6,True,Conflict,Canjel
Arlaadi IDP camp,4,2,1,1,True,Drought,Kormari
Tawakal,7,2,3,2,True,Drought,Tawakal
Unlawe / Aw Adoon,5,1,1,3,True,Conflict,Aadan yabaale 
Sh. Ali Abdule,18,5,8,5,True,Flood,Kulmis yarow
Khalid 2,2,0,1,1,True,Flood,Migwa 
Salamey -2,7,2,2,3,True,Drought,Teyeeglow
Garoor,19,2,7,10,True,Conflict,Buula sheikh
Ideed Koblee,5,2,2,1,True,Drought,Goorisini Wiin
Dooy,16,4,4,8,True,Drought,Abag-Beday
Yasir Alle,25,2,9,14,True,Conflict,Mareerey
Tulo-jibriil,15,5,5,5,True,Drought,Caracase 
Camp 1,12,2,4,6,True,Drought,Qarxis
Waab Garaad,5,1,2,2,True,Drought,Wabgarad village 
Badanbadey,7,2,2,3,True,Drought,Goof Gaduud Buuray
Ladan,15,2,5,8,True,Drought,Mayando
Camaloow,5,1,2,2,True,Conflict,Bula jiis
Qansax dheere,4,1,1,2,True,Conflict,Kulun jareer village 
Janbalul,20,5,7,8,True,Conflict,Jambalul
Midnimo (dhobley),7,1,2,4,True,Conflict,Kulbiyow
Hareeriley,30,9,13,8,True,Flood,Yaaqle
Mayqoonsity IDPs,9,3,5,1,True,Drought,Safarnoolay 
Ciidweyne,42,12,15,15,True,Drought,Baqtiiley 
Yeed,3,1,1,1,True,Drought,Yeed village 
Hubbey,9,2,4,3,True,Drought,Hubbey
Bundogadud,12,2,3,7,True,Drought,Dasar 
MOGOR IDP,10,2,3,5,True,Drought,Mogor
Tukey Garas,2,1,0,1,True,Conflict,Luuq
Dogob,3,0,1,2,True,Drought,Guba
Madaxwarabe,5,1,2,2,True,Drought,Waney village.
Deres Uroone,20,3,7,10,True,Conflict,Cabdi Cali
Buulo Agoon,6,1,1,4,True,Flood,Hormar
Bulsho,5,1,1,3,True,Drought,ceel cade
Garash,4,1,1,2,True,Drought,Landheer
Deeb Wiine,6,2,2,2,True,Drought,Shibeelow
Madhato,10,2,3,5,True,Drought,Rabdhuure 
Nuura,9,2,3,4,True,Conflict,barwaaqo
Qasibileer,3,1,1,1,True,Drought,Edaaimow
Taqwa camp,6,2,2,2,True,Conflict,Ceel Dheer
Gasile,2,1,1,0,True,Drought,Gasile
Diinsoor,11,2,2,7,True,Drought,Diinsoor
Ceel Cedow,5,1,3,1,True,Drought,Ceel Cedow
Camp hagar,6,1,1,4,True,Conflict,Hagar
Sariiraale,38,8,12,18,True,Conflict,Wargaadhi and Geelgub 
Towfiq,54,12,18,24,True,Conflict,Ceeldheere Buraale and Lamagaras
Miskin,23,6,10,7,True,Conflict,Buulo shiekh
Geedole2,27,5,9,13,True,Conflict,Janaale
Towfiq,3,1,1,1,True,Drought,Baarey
Kabasa,12,2,3,7,True,Drought,Lahelow
Lafoole IDP,5,1,1,3,True,Other,Awmaadow village in rural 
Buurdhuuba,4,0,1,3,True,Conflict,Qaydar suuboow village 
Xero koowaad,4,1,1,2,True,Conflict,Guba
Camp 4,6,1,2,3,True,Drought,Baydhabo
Habriir,2,0,2,0,True,Drought,Habriir village 
Geed Cashar,35,11,15,9,True,Flood,Farbaki 
Camp Hawina,9,1,3,5,True,Eviction,Qansaxdhere
Mogi Maalag,3,1,1,1,True,Drought,Mogimalaag village 
Gariswiin,6,1,2,3,True,Drought,Shibeelow
Buulo Jadiid,4,1,1,2,True,Drought,Buulo jadiid
Garasweyne,4,1,3,0,True,Drought,Garasweyne village 
Awaqbanboow,3,1,1,1,True,Conflict,Canateel
Banaaney,28,8,10,10,True,Drought,Cagwalaf 
Gamaasle,20,3,8,9,True,Conflict,Mubarak
Arlaadi,6,1,1,4,True,Drought,Cagaar weyne
Shabeelow Bay,6,2,2,2,True,Drought,Buur helade 
Maanyow,24,6,6,12,True,Drought,Maanyow
Elberde,4,1,1,2,True,Drought,Elberde village
Dahraan,6,0,2,4,True,Flood,Awdhegle
Afuug miirow,3,1,2,0,True,Drought,Saakow
Bodan,4,1,2,1,True,Drought,Bodan village 
Camp Jiroole (dhobley),7,1,2,4,True,Conflict,Jilib
Camp Jiroon,33,3,15,15,True,Drought,Ceelboon 
Dusti,4,1,1,2,True,Drought,Diinsoor 
Hol-Ade,4,1,1,2,True,Drought,Dhanfaruur village.
Adable Gunre,2,1,1,0,True,Drought,Taflaw 
Musaley,18,3,5,10,True,Conflict,Aboorey
Taagsade,5,1,2,2,True,Conflict,Buur Hakaba
Madooda,3,1,2,0,True,Drought,Madooda village
Dirir,3,0,1,2,True,Drought,Adan Yabaal
Logu Bogay,3,1,1,1,True,Drought,Logu Bogay
Yaqashid,6,2,2,2,True,Drought,Gurbaan
Badbaado,11,4,3,4,True,Drought,Koban
Daryel,6,1,1,4,True,Conflict,Sakow
Alaa Kariim,23,3,7,13,True,Conflict,Mareerey
Dheen,16,5,5,6,True,Conflict,Mahas
Tawakal 2 Diinsoor,5,1,1,3,True,Conflict,Daynuunay 
Rajo,6,2,2,2,True,Conflict,Saakow
Wabi Yarow,22,4,7,11,True,Conflict,Awdheegle
Bisigle,5,1,3,1,True,Drought,Bisigle village 
Reydab Qandhole,4,2,1,1,True,Conflict,Daynuunay
Kulimye IDP Centre,37,11,15,11,True,Conflict,buula quran
Garas Tuurane,11,2,3,6,True,Drought,Buur Eyli
Tawakal Gurbaan,5,1,2,2,True,Drought,Gurbaan
Doyale,3,1,1,1,True,Drought,Ethiopia
Ilwaad Qurx,29,5,8,16,True,Conflict,Sabiib and caanoole
Biyo Badeed,24,4,8,12,True,Conflict,Janaale
Gololey,34,10,15,9,True,Flood,Jameeco misra
Rojo,6,2,2,2,True,Drought,Saakow
Mogor Iyo Mayow-1,4,1,1,2,True,Drought,Diinsoor
Ato,2,0,2,0,True,Drought,Ato village 
Buur Helade,4,1,1,2,True,Drought,Buur Eyli 
Qod Qode,4,1,1,2,True,Drought,Dalandole-2
Tuulada Geed Casher,29,9,13,7,True,Flood,Jameeco misra 
Keerow Malaagdi,3,1,1,1,True,Drought,Baidoa 
Lafo Barkato,12,3,4,5,True,Drought,Salaxley
Baladulamiin,27,6,8,13,True,Conflict,Horseed
Gubti Weyn,4,1,2,1,True,Drought,Abal
Kurtun,4,1,1,2,True,Drought,Buur Hakaba
Ala Weyn,20,3,5,12,True,Conflict,Balad Amiin
Tuugaarey,40,12,18,10,True,Flood,Jameeco misra 
Jakaton,2,1,1,0,True,Drought,Howla hagud
Banyal,4,1,2,1,True,Drought,Shanta Mundule
Mora Fuur,6,2,2,2,True,Drought,Ceelboon
Osbole,3,1,1,1,True,Drought,Goof Gaduud Buuray
Mareerey,27,8,12,7,True,Conflict,Yaaqle
Faanoole 2,7,3,2,2,True,Drought,Tayeeglow
Mowlid Laqay,7,1,1,5,True,Conflict,Diif
Mindhig IDP,4,2,1,1,True,Drought,Makiiney
Gar faale,20,5,6,9,True,Conflict,Moqokori
Alraxmo,23,5,7,11,True,Conflict,Mareereey sabiib and anole
Sabriye,3,1,1,1,True,Drought,Goof Gaduud Buuray
Sugoow,9,2,3,4,True,Drought,Bacaad  Qoqane 
Gurubooy,6,2,2,2,True,Drought,Buur Eyli
Reydabale,2,1,1,0,True,Drought,Dooy gaab
Deg Gomor,4,1,2,1,True,Drought,Galow Gab
Tawakal Adc,7,2,3,2,True,Drought,Moolamad 
Baas Ma'Arke,7,3,2,2,True,Drought,Waajid
Mulombe,6,2,2,2,True,Drought,Berdale 
Dhuuma Dhuumaay,5,1,1,3,True,Drought,Ethiopia
Maxaa Deex,25,8,11,6,True,Flood,Nuukaay
Guudal,4,1,1,2,True,Drought,Sarmaan village.
Baano,6,1,2,3,True,Drought,Seenilow village.
Kanaanah,4,1,1,2,True,Drought,Dublay
Yaaq Braawe,4,1,1,2,True,Drought,Waraabow
Hareeri-Jiroon,5,1,1,3,True,Drought,Hareeri-Jiroon
Galow Gab,3,1,1,1,True,Conflict,Buur eyle 
Beladul Amin 3,5,1,2,2,True,Drought,Maanyow
11-Janaay-1,4,1,1,2,True,Drought,Qansaxdheere
Raholey,7,2,2,3,True,Drought,Kalow
Weel Tugar,6,1,2,3,True,Drought,Dhakaadema
Weeyl Daage,3,1,1,1,True,Drought,Eela-suran
Muryaale,22,7,9,6,True,Flood,Jameeco misra 
Doomeey,53,6,13,34,True,Drought,Ethiopia
Galgal Weyn,13,4,5,4,True,Drought,Diinsoor
Waaberi,49,10,16,23,True,Conflict,Farbiito
Moorishillinle,6,1,4,1,True,Drought,Aboore village
Howlwadag2,8,2,2,4,True,Drought,Nuurkaa
Barwaaqo IDPs,2,0,1,1,True,Drought,Eljeedow
Walaaha,11,2,2,7,True,Conflict,mukedhere
Koonfur Bari,7,1,4,2,True,Drought,Doygaab village
Celgodow,4,1,2,1,True,Drought,Ceel godow village
New Alla Aamin,29,7,8,14,True,Drought,Raamo and ganboole 
Gulow,6,1,2,3,True,Conflict,Boss cudur
Guudka,3,1,1,1,True,Drought,Waaf dhaay
Buulu Fiin,3,1,1,1,True,Drought,Dhundhufaay
Duyacley,7,2,1,4,True,Conflict,Hareeritur village in rural 
Maida,10,2,3,5,True,Conflict,Boss cudur
Kaxareey,3,1,2,0,True,Drought,Ladan idp
Qaboobe,12,3,5,4,True,Drought,Ethiopia
Bohol Galanjo,4,1,2,1,True,Drought,Deynuuney 
Salamey Idaale,5,1,2,2,True,Conflict,Daynuunay 
War Gaduuda,12,3,4,5,True,Drought,Diinsoor 
Busley,6,2,4,0,True,Drought,Busley village
Barakow,3,1,1,1,True,Drought,Halaayow
Hillaac,5,1,1,3,True,Drought,Mushka
Imaam Aamin,8,3,3,2,True,Eviction,Moqokori
Barkaanle1,5,2,1,2,True,Eviction,Qoryole
Warshile,18,5,7,6,True,Conflict,Marerey
Hoodo,8,2,2,4,True,Conflict,Alkawsar 
Wehelow,12,3,4,5,True,Drought,Tufka
Mudan,14,4,5,5,True,Conflict,Aboorey
Alla-Karim,6,1,2,3,True,Conflict,Ceel dheer
Shiidile,5,1,1,3,True,Drought,Shiidile
Dhurshenshibele,4,1,2,1,True,Drought,Dhurshenshabele village 
Himilo,20,5,7,8,True,Conflict,Alkawsar 
Yandaarow IDPs,4,2,1,1,True,Drought,Galbeed
Alle Suge IDP,29,4,9,16,True,Drought,Kiliga shiinaha and dhaayaha
Gomore IDPs,3,1,2,0,True,Drought,Gomere wakdhore
Tawakal Sigalow,5,1,1,3,True,Drought,Matoor
Kafaaya,7,1,1,5,True,Conflict,Adan Yabaal
Abal,4,0,3,1,True,Drought,Abal village
Hibow,7,2,2,3,True,Drought,Hibow
Afrax / Kam Barwaaqo,4,1,1,2,True,Conflict,Ceel buur
Waberi2,18,5,6,7,True,Drought,Baraawey
Marko,6,1,1,4,True,Drought,Jowhar
Kaskey,22,2,8,12,True,Conflict,safar noolaay
Dulmediid,13,5,5,3,True,Conflict,Garas wiini
Garas Mintan,2,0,1,1,True,Conflict,Baasmalahe
Warsan,5,2,2,1,True,Drought,Abag-Beday
Alla-Amin,8,2,2,4,True,Drought,Awdinle
Rabisaali,24,5,8,11,True,Conflict,Moodo mode
Kormari,3,1,1,1,True,Drought,Diinsoor 
Horseed,8,1,2,5,True,Conflict,jameeco
Shimbirow,3,1,2,0,True,Drought,Shimbirow village
Horseed,15,5,5,5,True,Drought,Cagwalaf 
Hiiraan,6,0,2,4,True,Drought,Qoryooley
Waaberi,5,0,1,4,True,Conflict,Dhanawa
Bayruha,29,8,9,12,True,Conflict,Garawlay
Mahad Alle-3,3,1,1,1,True,Drought,Oflow 
Donfeylahow IDP,5,1,2,2,True,Drought,Donfeylahow village 
Wanay IDP,7,2,2,3,True,Drought,Wanay
Madina,5,1,1,3,True,Drought,Rasal
Alla Tuug,5,0,1,4,True,Eviction,Ceel dheer
Shukurow,4,1,1,2,True,Eviction,Ceel dheer
Baqaley Riibe,5,1,2,2,True,Drought,Xudur
Kurman Galbeed village,46,17,15,14,True,Conflict,mataano
Ras-Cade,18,5,6,7,True,Drought,Misra
Nasiib Door,4,1,1,2,True,Drought,Berdale
Badacas one,34,8,11,15,True,Drought,Loole and Bangoronyo 
Garday,26,6,9,11,True,Conflict,Gooras
Celasha,9,1,3,5,True,Drought,Yakir
Galoola,5,1,2,2,True,Drought,Madoodaa village.
Buula Fulay,6,2,2,2,True,Drought,Xudur
Buula Issack,3,1,1,1,True,Drought,Buur eyle
Kishaadi,2,0,2,0,True,Drought,Kishaadi village
Deeq Alle,4,1,1,2,True,Drought,Bakaari
War-Midow,18,5,6,7,True,Drought,Buulo Madey
Camp Returnees,27,5,5,17,True,Conflict,qot qot
Yowkoyow,4,1,2,1,True,Drought,Baayale village
Kainey,7,2,3,2,True,Drought,Kulanjarer village
Dhabad,42,12,15,15,True,Drought,Caracase 
Kurtun,18,5,6,7,True,Drought,Arabow
Goof Gaduud Buuray,7,2,2,3,True,Drought,Buur Hakaba
Dheriyow,6,1,2,3,True,Drought,Shibeelow
Sarman Dheer,4,1,1,2,True,Drought,Sarmaan
Alle Qabe,5,1,1,3,True,Conflict,Saakow
Madaida,13,3,4,6,True,Conflict,Doygaab
Camp saakow,3,1,1,1,True,Conflict,Welmaro
Mahad Alle-2,6,2,2,2,True,Drought,Baarsaare
Nunow,21,4,7,10,True,Conflict,Gorsan
Hareera Boor,3,1,1,1,True,Drought,Adeygaraar
Horseed,42,11,15,16,True,Drought,Qotqot
War-Garas,18,4,6,8,True,Drought,Deg-Gomor
Abuurow,4,1,2,1,True,Drought,Koron roogi
Jafaay,12,3,4,5,True,Drought,Ufurow
Reeboy,6,1,1,4,True,Eviction,Masajid cali gudud
Saxardiid,29,6,9,14,True,Conflict,Buur eylo
Waradoy,18,6,5,7,True,Drought,Diinsoor 
Qadiid,6,1,4,1,True,Drought,Qadiid village
Moorogabey,17,3,6,8,True,Conflict,Rebee
Nasib Wanag 2,5,1,1,3,True,Drought,Maka dhagooli
Juba Baraawa,31,11,14,6,True,Conflict,gaanugaay
Ifo Bay-2,4,1,1,2,True,Drought,Berdale
Garbolow,8,1,2,5,True,Drought,Asali
Tateey,5,1,2,2,True,Conflict,Qardhaale
Allah Umaqan,6,2,2,2,True,Drought,Moori gaabey
Camp bulogedoyo,58,11,19,28,True,Conflict,baarka humandheerow
Bula Gedi,20,2,5,13,True,Conflict,Farbiito
Towsi Libax,5,1,2,2,True,Drought,Qansaxdheere 
Shiikh ibrahim,3,1,1,1,True,Eviction,October
Fadhigaale,3,1,1,1,True,Drought,Fadhigale village 
Towsiili,6,2,2,2,True,Drought,Towsiili
Hilaac IDP,1,1,0,0,True,Eviction,Waaberi
Taakulo,15,5,5,5,True,Conflict,Aboorey
Wadajir Horseed,5,1,1,3,True,Drought,Shibeelow
Mubark-2,2,1,1,0,True,Drought,Weel koban
Mushka,12,3,4,5,True,Drought,Ufurow
Waab-Doore,12,3,4,5,True,Drought,Yaaqley
Dhaymo Dheer,40,7,13,20,True,Conflict,Dacaraha
Gulled / Gulleed,3,1,1,1,True,Conflict,October
Fathu-Rahman,5,1,2,2,True,Conflict,Luuq
Jilelow Camp,4,1,1,2,True,Drought,War yarooy
Biyaso,35,8,12,15,True,Drought,Raamo and Jawaay
Gurbaan,48,18,10,20,True,Conflict,Barakaley
Damaley,37,5,13,19,True,Conflict,Aliyow Barow
Banaadir,6,1,2,3,True,Drought,Jalaqlaqsi
Daniya,4,1,1,2,True,Drought,Daynuunay 
Tufka,18,5,6,7,True,Drought,Ufurow
Kebo,1,0,1,0,True,Flood,Migwa
Muuriye,1,0,1,0,True,Conflict,October
Safa,5,1,1,3,True,Eviction,Belet weyn
Shiniile,2,1,1,0,True,Conflict,Buurdhuxunle
EREELI camp,21,6,5,10,True,Conflict,Eriile
Wadajir,3,0,1,2,True,Drought,Tag
Doora Weera,3,0,3,0,True,Drought,Moolmaat village
Halis,34,7,10,17,True,Conflict,Furuqley
Ceynabo,10,2,3,5,True,Drought,haar cadeey
Kabka,3,1,0,2,True,Eviction,Balacad
Shaafi,25,5,7,13,True,Conflict,Guursa
Al Halim,19,4,5,10,True,Conflict,Manaas
Hanana 1,15,5,5,5,True,Drought,Tayeeglow
Ganane,25,6,7,12,True,Conflict,Manaas
Dhagaxley,12,2,4,6,True,Drought,Faxasa
Farawiley,3,0,2,1,True,Drought,Farawiley village
Jaacir camp,45,15,20,10,True,Conflict,Abdi ali
Awal Barwaqo,5,2,2,1,True,Drought,Dalandole-2
Mashkur,2,0,1,1,True,Conflict,October
Jarato,1,0,1,0,True,Conflict,October
Istanbul,10,3,3,4,True,Drought,Hakaba 
Awoodimow,5,1,1,3,True,Conflict,Baanow
Barako,1,1,0,0,True,Flood,Moofi
Aadtkiyaal,7,1,2,4,True,Drought,Xoogir village
Barwaqo,5,0,2,3,True,Drought,Gelgel
Jowhar Soomaali,28,6,9,13,True,Drought,Qunbure and Buurdheere
Wardhujiiley,7,1,4,2,True,Drought,Wardhujiiley
Farjano,19,5,9,5,True,Drought,Baqtiiley 
Liban IDP,37,11,12,14,True,Conflict,dhagaajo
Dulqad 2,29,9,10,10,True,Conflict,Sablaale
Kaydsaney IDP,43,15,18,10,True,Conflict,Bidi
Qansax Oomane,20,2,8,10,True,Drought,Funujo 
Siigadheere-1,4,1,1,2,True,Drought,Baidoa
Budbud,2,1,1,0,True,Conflict,October
Doxa 2,13,3,5,5,True,Conflict,Aboorey
Taangi,6,1,0,5,True,Conflict,Ceel bur
Hanano 2,3,1,1,1,True,Drought,Shibeelow
Molomaad Wiine,8,2,2,4,True,Drought,Qod Qode
Macow,3,1,1,1,True,Drought,Qanyerey
Bakal Laabow 1,6,2,2,2,True,Conflict,Towsi-Libee
Rakaale,3,1,1,1,True,Drought,Rakaale village
Siigadheere-2,7,2,2,3,True,Drought,Baidoa 
Bosare,30,5,10,15,True,Conflict,Awdhigle
Dudimi Edi,4,1,1,2,True,Drought,Dudimi Edi
Daryeel,29,5,7,17,True,Drought,Buurdheere and Mooragubad
Haji Abdulahi,49,15,17,17,True,Conflict,tuwaake
Kaam wil wil,5,1,2,2,True,Conflict,Kurtunwaarey
Ale Qabe,2,0,1,1,True,Drought,Alle Qabe village 
Dayah 2,48,10,15,23,True,Conflict,Diinsoor
Subxaan,36,8,12,16,True,Conflict,Jameeco
Galey,1,0,1,0,True,Flood,Harbole 
Horsedka Walalha,32,7,11,14,True,Conflict,Sabiib and anole
Iftin IDP,56,11,19,26,True,Conflict,qasaalay
Gadude,60,11,15,34,True,Conflict,wahelow
Buundo 3,12,2,3,7,True,Conflict,Aboorey and mahas
Ijaabo,23,4,6,13,True,Conflict,Gabagabo
Tuni Camp,42,11,15,16,True,Drought,Geel waay
