arrival_settlement,arrivals_total,arrivals_males,arrivals_females,arrivals_children,final_destination,origin_hazard,origin_settlement
Hareero Kuud,4,1,1,2,True,Conflict,Awdinle
Sabeedow,8,2,2,4,True,Drought,Gaduudi barwaaqo
Jafaay,12,3,4,5,True,Drought,Ufurow
Waradoy,24,6,9,9,True,Drought,Lamo Warood
Hawal Been,24,6,9,9,True,Drought,Ufurow
Aw-Raame,5,1,1,3,True,Drought,Abaq Haluul
Delmo,21,5,6,10,True,Flood,Bayxaaw and primo zento
Kurman Galbeed village,29,2,8,19,True,Conflict,shanqalow
Goobweyn,7,1,2,4,True,Conflict,Jameeco
Hubi,11,2,3,6,True,Conflict,Jameeco
Kulimye IDP Centre,27,7,5,15,True,Conflict,kudug
Goroyo Hor,9,2,3,4,True,Drought,Ethiopia
Busley,4,1,2,1,True,Drought,Busley village
Bula Esan IDP Centre,14,2,5,7,True,Conflict,Gurbaan
Qeyre,6,1,1,4,True,Conflict,Sakow 
Budbud,4,1,1,2,True,Conflict,October
Gar faale,16,4,5,7,True,Conflict,Buulo madiina
Ahmed Bin Xambal,3,1,1,1,True,Conflict,Masagirow
Abal,3,1,1,1,True,Drought,Abal village
Bula Sokor,3,1,1,1,True,Drought,Uffurow
Madina,12,2,2,8,True,Conflict,Burdhubo 
Jowle 2,12,3,3,6,True,Drought,Baydhabo
Jakaton,3,1,1,1,True,Drought,Tuutes
Yaqashid,9,2,2,5,True,Drought,Gurbaan
Koban Dheere,4,1,1,2,True,Drought,Baarsaare
Eleemow,5,2,2,1,True,Conflict,Ceel tumeed
Hajiweyne,3,0,1,2,True,Conflict,Mayonde 
Buur Abor,3,2,1,0,True,Drought,Ethiopia
Adad-Gerey,5,1,1,3,True,Drought,Abag Siin
Garaska Shabada,18,6,7,5,True,Drought,Huuweey
Wereg,18,6,5,7,True,Drought,Lamo Warood
Dhagaxley,16,4,5,7,True,Drought,Celcalen
Mora Hagar,4,0,1,3,True,Drought,Dini village.
Fadhigaale,5,2,1,2,True,Drought,Fadhigale village
Roob Da'Ay,4,1,1,2,True,Drought,Diinsoor 
If Tiin,26,7,3,16,True,Conflict,buslay
Eesow,5,1,2,2,True,Conflict,Khansaxdheere 
Buula Busley,3,1,1,1,True,Drought,Gurbaan
Ibdow Kuusow,12,3,5,4,True,Drought,Ufurow
Sur Gaduud,12,4,3,5,True,Drought,Dhobley 
Banta,8,2,3,3,True,Conflict,Arabow
Xabiibayaal,18,6,7,5,True,Drought,Gurbaan
Tuboy,4,1,1,2,True,Drought,Garsaaley
Camp hagar,12,2,3,7,True,Conflict,Balet hawa
Dhato,4,1,1,2,True,Drought,Biile 1
Howlwadag2,14,3,3,8,True,Drought,Madina
Moorishillinle,5,0,4,1,True,Drought,Aboore village
Waaberi,15,2,5,8,True,Conflict,dhagaajo 
Ganugaay,4,1,1,2,True,Drought,Dalandoole
Garbolow,13,4,3,6,True,Drought,Ethiopia
Hiyaado Weyn,6,2,2,2,True,Drought,Berdale 
Shiid Bileer,3,1,1,1,True,Drought,Siji
Hayaan Bacadweyn,6,1,1,4,True,Conflict,Baraag ciise
Wadajir Camp,11,1,3,7,True,Conflict,Sabiib
Tugaar-Hoosle,24,8,7,9,True,Drought,Lamo Warood
Bakalka,3,1,1,1,True,Drought,Abag jibeed
Hubbey,7,2,3,2,True,Drought,Hubbey
Kaydsaney IDP,26,10,15,1,True,Conflict,Raaxoole
Biile 2,3,1,1,1,True,Drought,War yarooy
Tawakal,3,1,2,0,True,Drought,Eleemow
Safiina,23,5,8,10,True,Conflict,Janaale
Goley 1,4,1,1,2,True,Drought,Aliyow dooyow
Dardiman,25,6,7,12,True,Conflict,Sabiib
Faroole,35,9,11,15,True,Conflict,Buulo Garas
Duyacley,11,3,3,5,True,Conflict,Buur bakaaro village and kulun jareer village 
Sumadle,4,1,1,2,True,Drought,Sigle iyo Lafaale
Bambam,9,1,2,6,True,Conflict,mukedheere
Biyooley,27,5,9,13,True,Conflict,Buulo madiina
Kaxda Nabada,5,2,1,2,True,Conflict,Arbaqarso
Hiyado Yarey,4,2,1,1,True,Drought,Diinsoor 
