,target,source,number_people,weight
4441,Goobaanle,Farsoley,6,1.0
4442,Goobaanle,Mahadaay,23,0.359375
4443,Goobweyn,Aborey,10,0.09259259259259259
4444,Goobweyn,Jameeco,7,0.02734375
4445,Goof Gaduud Buuray,Buur Hakaba,14,0.14893617021276595
4446,Goof Gaduud Buuray,Ceel bashir,4,1.0
4447,Goof Gaduud Buuray,Hakaba,8,0.12698412698412698
4448,Goof Gaduud Buuray,Qod Qode ,5,0.45454545454545453
4449,Goofadho,Mubarak,40,0.08583690987124463
4450,Goombir,Doolow,2,0.008
4451,Goombir,Doolow ,6,0.11320754716981132
4452,Goombir,Raxoole,6,0.0821917808219178
4453,Goomir,Awdinle,5,0.007331378299120235
4454,Goomir,Bakale,4,0.13333333333333333
4455,Goomir,Bodan,6,0.2
4456,Goomir,Buulo baraka hagarka,16,1.0
4457,Goomir,Buulo cadoy,6,1.0
4458,Goomir,Ceel Dheere,4,0.3076923076923077
4459,Goomir,Hagaray,6,0.1
4460,Goomir,Koranrrogi,6,1.0
4461,Goomir,Labatan jarow,4,0.08888888888888889
4462,Goomir,Makoon,5,0.15151515151515152
4463,Goorinane-1,Boorame,5,0.7142857142857143
4464,Goorisini Wiin,Saakow,6,0.007874015748031496
4465,Goorisini Wiin,Xafata,8,0.07407407407407407
4466,Goosey,Awdinle,6,0.008797653958944282
4467,Goosey,Ban Ban,4,0.13333333333333333
4468,Goosey,Baygaduud,3,0.02054794520547945
4469,Goosey,Buulo Garar,5,0.21739130434782608
4470,Goosey,Kulan Jareer,7,0.22580645161290322
4471,Goosey,Labtan jarow,4,0.5
4472,Goosey,Shibeelow,8,0.0136986301369863
4473,Goosey,Xafata,15,0.1388888888888889
4474,Gorawlay,Awdhegle,21,0.0472972972972973
4475,Gorgaal,Salaxow,16,0.45714285714285713
4476,Gorgor,Jameeco,7,0.02734375
4477,Gorgor,farxaane,8,0.24242424242424243
4478,Gorgor,yaaqlow,9,1.0
4479,Goroyo Hor,Booraancad,8,1.0
4480,Goroyo Hor,Ethiopia,17,0.0048543689320388345
4481,Goroyo Hor,Tuulo barwaaqo,12,0.48
4482,Gubad Galoole,Abagbeedey village,5,0.1282051282051282
4483,Gubad Galoole,Abal village,5,0.04716981132075472
4484,Gubad Galoole,Banjanay village.,11,0.6111111111111112
4485,Gubad Galoole,Bibiyow village,4,0.36363636363636365
4486,Gubad Galoole,Dhanfaruur village.,6,0.14634146341463414
4487,Gubad Galoole,Donfuul village,6,1.0
4488,Gubad Galoole,Doonfuul village,6,0.10714285714285714
4489,Gubad Galoole,Doonfuul village.,17,0.3953488372093023
4490,Gubad Galoole,Dudumaale village,5,0.13157894736842105
4491,Gubad Galoole,Elgaras village.,3,0.075
4492,Gubad Galoole,Faajer boore village.,4,1.0
4493,Gubad Galoole,Gomore village.,4,0.0975609756097561
4494,Gubad Galoole,Yahole village,3,1.0
4495,Gubataay,Aracase,7,1.0
4496,Gubataay,Dhamas,6,0.01675977653631285
4497,Gubataay,Ethiopia,8,0.002284408909194746
4498,Gubataay,Fardajirow,10,1.0
4499,Gubataay,Gariley,13,0.22033898305084745
4500,Gubataay,Gigagi,15,1.0
4501,Gubataay,Kamarow,30,0.9090909090909091
4502,Gubataay,Kamorow,7,0.07
4503,Gubataay,Maalow,6,1.0
4504,Gubataay,Qoney,3,0.12
4505,Gubataay,Sajif,7,1.0
4506,Gubataay,Washan,3,1.0
4507,Gubataay,Yurkud ,4,0.03305785123966942
4508,Gubti Weyn,Abal,4,0.01932367149758454
4509,Gubti Weyn,Dubi Gas,5,0.17857142857142858
4510,Gubti Weyn,Gadowni,7,1.0
4511,Gubti Weyn,Goof yerow,5,1.0
4512,Gubti Weyn,Goorinane-1,15,0.1724137931034483
4513,Gubti Weyn,Gurbaan,7,0.004430379746835443
4514,Gubti Weyn,Madhaayti,6,0.6666666666666666
4515,Gubti Weyn,Misaari,23,0.8846153846153846
4516,Gubti Weyn,Sagaal mundul,3,1.0
4517,Gubti Weyn,Sigli,4,0.06779661016949153
4518,Gulled / Gulleed,October,31,0.05688073394495413
4519,Gulow,Basra,5,0.01694915254237288
4520,Gulow,Boss cudur,6,0.375
4521,Gumar dheere,Bakol,4,0.19047619047619047
4522,Gumar dheere,Bakolow,9,0.23076923076923078
4523,Gumar dheere,Bohol,20,0.16806722689075632
4524,Gumar dheere,Cabdi Looxow,6,1.0
4525,Gumar dheere,Dhamas,2,0.00558659217877095
4526,Gumar dheere,Ethiopia,24,0.006853226727584237
4527,Gumar dheere,Gariley ,8,0.5333333333333333
4528,Gumar dheere,Gudun,17,0.6538461538461539
4529,Gumar dheere,Mirkey,6,0.6
4530,Gumar dheere,Musquley,20,1.0
4531,Gumar dheere,Sanajif,12,0.5454545454545454
4532,Gumar dheere,Yurkud ,3,0.024793388429752067
4533,Gumarey,"Awdigle, mareerey",50,1.0
4534,Gumeysi Did 2,Harow,10,1.0
4535,Gunjeele,Awdhiigle,23,0.05974025974025974
4536,Gurbaan,Baardheere,12,0.05660377358490566
4537,Gurbaan,Barakaley,48,0.09302325581395349
4538,Gurbaan,Doolow,12,0.048
4539,Gurbaan,Kurman,4,0.005115089514066497
4540,Gurdaale,Gurdaale,7,0.07
4541,Guriga hooyoyinka,Ceelasha biyaha,4,0.10526315789473684
4542,Guriga hooyoyinka,Ethiopia,8,0.002284408909194746
4543,Gurmad Iyo Gargar,Bacaad ,3,0.42857142857142855
4544,Gurmad Iyo Gargar,Ethiopia,7,0.0019988577955454027
4545,Gurmeysi,Awdinle,6,0.008797653958944282
4546,Gurmeysi,Goof Gaduud Buuray,6,0.02553191489361702
4547,Gurmeysi,Gurdaale,10,0.1
4548,Gurmeysi,Lowjeli,4,1.0
4549,Gurmeysi,Shanqolow,20,0.9090909090909091
4550,Gurmeysi,Tuweer hoos,5,0.29411764705882354
4551,Guru Oy Elbay,Bakara,7,1.0
4552,Guru Oy Elbay,Barakow,6,0.08695652173913043
